ROW_ID,Year,Month,Day,Sample Week,Crop,Treatment,Block,Plot,Air_Temperature,Ground_Temperature,Soil_Temperature,Humidity,Egg_Start,Not_Eaten,Eaten,Proportion_Eaten,Abundance,Richness,Lasius_neoniger,Solenopsis_molesta,Formica_montana,Formica_rubicunda,Formica_subaenescens,Myrmica_americana,Temnothorax_ambiguus
100,2021,June,21,4,Soy,No Till,a,2,19.1,19.8,18,48.7,48,10,38,0.79,12,1,12,,,,,,
101,2021,June,21,4,Corn,Till,a,1,18.9,27.1,19.4,47.3,67,63,4,0.06,6,1,6,,,,,,
102,2021,June,21,4,Corn,Till,a,2,18.9,30.2,19.2,50,87,63,24,0.28,3,1,3,,,,,,
103,2021,June,21,4,Corn,No Till,a,1,17.8,23.5,19.8,48.8,69,37,32,0.46,0,0,,,,,,,
104,2021,June,21,4,Corn,No Till,a,2,19.2,21.9,19.4,46.3,54,19,35,0.65,17,1,17,,,,,,
105,2021,June,21,4,Soy,Till,b,1,19.2,20.5,18,47.4,60,13,47,0.78,0,0,,,,,,,
106,2021,June,21,4,Soy,Till,b,2,16.9,22,18.8,44.2,55,52,3,0.05,0,0,,,,,,,
107,2021,June,21,4,Soy,No Till,b,1,19,21.8,17.8,49.9,50,27,23,0.46,0,0,,,,,,,
108,2021,June,21,4,Soy,No Till,b,2,21.5,20,17.6,44,69,4,65,0.94,0,0,,,,,,,
109,2021,June,21,4,Corn,Till,b,1,18.6,17.5,19.1,48.9,59,57,2,0.03,0,0,,,,,,,
110,2021,June,21,4,Corn,Till,b,2,16,17.8,19.1,51,57,0,57,1,23,1,23,,,,,,
111,2021,June,21,4,Corn,No Till,b,1,17.5,18.5,18.7,52.9,38,36,2,0.05,9,1,9,,,,,,
112,2021,June,21,4,Corn,No Till,b,2,15.7,19.1,18,51.5,75,71,4,0.05,6,1,6,,,,,,
113,2021,June,21,4,Soy,Till,c,1,20,24.1,18.1,43.7,69,44,25,0.36,3,1,3,,,,,,
114,2021,June,21,4,Soy,Till,c,2,20.1,21.2,17.9,45.3,75,67,8,0.11,0,0,,,,,,,
115,2021,June,21,4,Soy,No Till,c,1,18,21.3,17.2,46.8,52,48,4,0.08,0,0,,,,,,,
116,2021,June,21,4,Soy,No Till,c,2,18.1,21.9,17.6,49.7,72,46,26,0.36,0,0,,,,,,,
117,2021,June,21,4,Corn,Till,c,1,17.7,20.4,18.4,47.4,63,2,61,0.97,2,1,2,,,,,,
118,2021,June,21,4,Corn,Till,c,2,18.7,19.1,19.4,46,69,0,69,1,0,0,,,,,,,
119,2021,June,21,4,Corn,No Till,c,1,17.7,22.1,18.4,50.3,86,27,59,0.69,0,0,,,,,,,
120,2021,June,21,4,Corn,No Till,c,2,17.6,20.3,18.5,47.3,53,31,22,0.42,1,1,1,,,,,,
121,2021,June,21,4,Soy,Till,d,1,19.7,25.3,18.4,46.7,78,78,0,0,0,0,,,,,,,
122,2021,June,21,4,Soy,Till,d,2,18,25,18.8,46.2,51,39,12,0.24,0,0,,,,,,,
123,2021,June,21,4,Soy,No Till,d,1,20.4,24,17.5,44.2,45,45,0,0,0,0,,,,,,,
124,2021,June,21,4,Soy,No Till,d,2,18.9,23.8,17.8,46.2,49,41,8,0.16,0,0,,,,,,,
125,2021,June,21,4,Corn,Till,d,1,20.3,28.3,19.1,47.5,70,65,5,0.07,0,0,,,,,,,
126,2021,June,21,4,Corn,Till,d,2,19,23.5,19.1,47.2,98,38,60,0.61,56,1,56,,,,,,
127,2021,June,21,4,Corn,No Till,d,1,21.1,25.4,18.7,46.3,63,20,43,0.68,0,0,,,,,,,
128,2021,June,21,4,Corn,No Till,d,2,20.1,25.4,20.1,45.7,63,63,0,0,59,1,59,,,,,,
129,2021,June,29,5,Soy,Till,a,1,26.3,23.3,22.4,60.6,66,66,0,0,0,0,,,,,,,
130,2021,June,29,5,Soy,Till,a,2,26.8,24.5,22.9,59,52,19,33,0.63,0,0,,,,,,,
131,2021,June,29,5,Soy,No Till,a,1,26.2,22.2,21.7,59.3,66,0,66,1,26,1,,26,,,,,
132,2021,June,29,5,Soy,No Till,a,2,25.9,23.3,21.7,59.4,51,0,51,1,12,1,12,,,,,,
133,2021,June,29,5,Corn,Till,a,1,25.7,21.2,22.4,56.1,68,15,53,0.78,3,1,3,,,,,,
134,2021,June,29,5,Corn,Till,a,2,23.4,20.9,22.4,68.4,57,9,48,0.84,0,0,,,,,,,
135,2021,June,29,5,Corn,No Till,a,1,25.9,21.1,21.5,60.7,70,36,34,0.49,6,1,6,,,,,,
136,2021,June,29,5,Corn,No Till,a,2,25.8,21.3,22.1,65.1,67,6,61,0.91,32,1,32,,,,,,
137,2021,June,29,5,Soy,Till,b,1,27.3,25.7,22.6,56.1,63,28,35,0.56,1,1,1,,,,,,
138,2021,June,29,5,Soy,Till,b,2,26.1,26.9,22.8,52.3,69,20,49,0.71,0,0,,,,,,,
139,2021,June,29,5,Soy,No Till,b,1,28.4,24.7,21.5,56,60,32,28,0.47,0,0,,,,,,,
140,2021,June,29,5,Soy,No Till,b,2,26.9,23.5,21.1,53,55,55,0,0,0,0,,,,,,,
141,2021,June,29,5,Corn,Till,b,1,29.3,24.1,22.4,53.6,75,2,73,0.97,13,1,13,,,,,,
142,2021,June,29,5,Corn,Till,b,2,26.5,23.6,22.5,50,62,16,46,0.74,0,0,,,,,,,
143,2021,June,29,5,Corn,No Till,b,1,27.4,23.7,22.6,58.2,64,15,49,0.77,0,0,,,,,,,
144,2021,June,29,5,Corn,No Till,b,2,26.9,24.8,22.5,52.7,55,55,0,0,21,1,21,,,,,,
145,2021,June,29,5,Soy,Till,c,1,23.5,21.2,22.2,63.1,56,56,0,0,2,1,2,,,,,,
146,2021,June,29,5,Soy,Till,c,2,24,22.4,21.8,64.3,62,0,62,1,0,0,,,,,,,
147,2021,June,29,5,Soy,No Till,c,1,23.5,21.3,21.6,63,69,69,0,0,0,0,,,,,,,
148,2021,June,29,5,Soy,No Till,c,2,24.4,22.5,21.9,62.9,64,46,18,0.28,0,0,,,,,,,
149,2021,June,29,5,Corn,Till,c,1,24,19.4,22.5,59.7,69,54,15,0.22,2,1,2,,,,,,
150,2021,June,29,5,Corn,Till,c,2,25.5,20.3,22.1,67,64,62,2,0.03,0,0,,,,,,,
151,2021,June,29,5,Corn,No Till,c,1,23.4,21,22.1,61.3,70,13,57,0.81,0,0,,,,,,,
152,2021,June,29,5,Corn,No Till,c,2,24.9,20.5,22.4,60.6,66,2,64,0.97,0,0,,,,,,,
153,2021,June,29,5,Soy,Till,d,1,24.8,25.4,22.8,61.7,64,64,0,0,0,0,,,,,,,
154,2021,June,29,5,Soy,Till,d,2,25.3,26,22.9,58.1,63,11,52,0.83,0,0,,,,,,,
155,2021,June,29,5,Soy,No Till,d,1,24.9,23.2,21.5,64.5,70,18,52,0.74,0,0,,,,,,,
156,2021,June,29,5,Soy,No Till,d,2,24.6,22.7,22.1,61.9,54,35,19,0.35,0,0,,,,,,,
157,2021,June,29,5,Corn,Till,d,1,25,21.9,22.6,61.3,51,34,17,0.33,1,1,1,,,,,,
158,2021,June,29,5,Corn,Till,d,2,24.2,21.5,22.9,58.4,51,40,11,0.22,80,1,80,,,,,,
159,2021,June,29,5,Corn,No Till,d,1,25.7,22.6,22.5,56.8,53,13,40,0.75,0,0,,,,,,,
160,2021,June,29,5,Corn,No Till,d,2,23.4,23.8,22.8,57.2,78,76,2,0.03,42,2,11,31,,,,,
161,2021,July,7,6,Soy,Till,a,1,18.7,19.3,21.5,76.4,57,53,4,0.07,0,0,,,,,,,
162,2021,July,7,6,Soy,Till,a,2,16.6,19.9,22.1,80,65,38,27,0.42,0,0,,,,,,,
163,2021,July,7,6,Soy,No Till,a,1,18.3,18.3,21,80.5,51,44,7,0.14,16,1,16,,,,,,
164,2021,July,7,6,Soy,No Till,a,2,18,18.7,21.5,80.4,57,5,52,0.91,27,1,27,,,,,,
165,2021,July,7,6,Corn,Till,a,1,20.2,19.5,21.8,73.3,53,2,51,0.96,0,0,,,,,,,
166,2021,July,7,6,Corn,Till,a,2,19,19.2,22.1,72.8,64,19,45,0.7,3,1,3,,,,,,
167,2021,July,7,6,Corn,No Till,a,1,19.3,18.8,21.1,76.6,56,21,35,0.63,2,2,1,,1,,,,
168,2021,July,7,6,Corn,No Till,a,2,18.4,19.3,21.9,75.4,71,5,66,0.93,17,2,15,2,,,,,
169,2021,July,7,6,Soy,Till,b,1,18.8,19.3,21.4,75.9,53,41,12,0.23,0,0,,,,,,,
170,2021,July,7,6,Soy,Till,b,2,18.4,19.1,21.5,76.9,56,15,41,0.73,0,0,,,,,,,
171,2021,July,7,6,Soy,No Till,b,1,18.4,19.2,21.1,75.4,59,28,31,0.53,0,0,,,,,,,
172,2021,July,7,6,Soy,No Till,b,2,18.8,18.6,20.7,77,54,54,0,0,0,0,,,,,,,
173,2021,July,7,6,Corn,Till,b,1,17.9,18.8,21.6,85.1,66,42,24,0.36,0,0,,,,,,,
174,2021,July,7,6,Corn,Till,b,2,18.9,19,21.4,79.7,63,59,4,0.06,2,1,2,,,,,,
175,2021,July,7,6,Corn,No Till,b,1,18.9,19.4,21.6,78,57,56,1,0.02,14,1,14,,,,,,
176,2021,July,7,6,Corn,No Till,b,2,20.2,19.4,21.5,72.5,60,53,7,0.12,0,0,,,,,,,
177,2021,July,7,6,Soy,Till,c,1,17.9,16.7,21.5,74.7,66,65,1,0.02,0,0,,,,,,,
178,2021,July,7,6,Soy,Till,c,2,19.1,17.4,21.2,75.1,55,55,0,0,0,0,,,,,,,
179,2021,July,7,6,Soy,No Till,c,1,17.4,14.4,21.1,73.3,51,31,20,0.39,0,0,,,,,,,
180,2021,July,7,6,Soy,No Till,c,2,18.5,15.2,21.6,78.2,60,60,0,0,0,0,,,,,,,
181,2021,July,7,6,Corn,Till,c,1,17.9,16.8,21.7,75.7,56,55,1,0.02,0,0,,,,,,,
182,2021,July,7,6,Corn,Till,c,2,18.3,17,21.9,78.2,66,32,34,0.52,1,1,1,,,,,,
183,2021,July,7,6,Corn,No Till,c,1,17.8,16.9,21.3,76.5,74,48,26,0.35,0,0,,,,,,,
184,2021,July,7,6,Corn,No Till,c,2,18.9,17.4,18.7,77.2,62,8,54,0.87,0,0,,,,,,,
185,2021,July,7,6,Soy,Till,d,1,17.9,17.4,21.9,80,61,60,1,0.02,1,1,1,,,,,,
186,2021,July,7,6,Soy,Till,d,2,17,17.3,21.4,77.8,61,56,5,0.08,0,0,,,,,,,
187,2021,July,7,6,Soy,No Till,d,1,17.6,16.6,21.4,77.9,61,54,7,0.11,0,0,,,,,,,
188,2021,July,7,6,Soy,No Till,d,2,17.4,16.4,21.4,76.1,52,46,6,0.12,0,0,,,,,,,
189,2021,July,7,6,Corn,Till,d,1,18.2,17.3,21.6,77.2,66,66,0,0,0,0,,,,,,,
190,2021,July,7,6,Corn,Till,d,2,17.4,17.6,22.2,75.4,56,41,15,0.27,26,1,26,,,,,,
191,2021,July,7,6,Corn,No Till,d,1,18.2,17,22.2,78.9,54,45,9,0.17,0,0,,,,,,,
192,2021,July,7,6,Corn,No Till,d,2,17.2,17.1,21.6,76.4,50,42,8,0.16,6,1,6,,,,,,
193,2021,July,16,7,Soy,Till,a,1,20,15.8,20.4,82.3,68,0,68,1,0,0,,,,,,,
194,2021,July,16,7,Soy,Till,a,2,21,18.2,20.9,75.5,83,2,81,0.98,0,0,,,,,,,
195,2021,July,16,7,Soy,No Till,a,1,20.3,16.3,20.2,74.9,55,54,1,0.02,95,1,,95,,,,,
196,2021,July,16,7,Soy,No Till,a,2,21.7,17.5,20.3,77.5,53,5,48,0.91,9,1,9,,,,,,
197,2021,July,16,7,Corn,Till,a,1,21.4,17.8,20.1,82.6,73,65,8,0.11,0,0,,,,,,,
198,2021,July,16,7,Corn,Till,a,2,21.6,17.7,20.7,79.3,59,56,3,0.05,0,0,,,,,,,
199,2021,July,16,7,Corn,No Till,a,1,21.4,18.2,20.5,85.5,58,31,27,0.47,0,0,,,,,,,
200,2021,July,16,7,Corn,No Till,a,2,22,17.6,20.5,86.5,59,2,57,0.97,0,0,,,,,,,
201,2021,July,16,7,Soy,Till,b,1,20.7,14.7,20,79.5,59,56,3,0.05,0,0,,,,,,,
202,2021,July,16,7,Soy,Till,b,2,20.5,15.6,20.1,80.4,63,53,10,0.16,0,0,,,,,,,
203,2021,July,16,7,Soy,No Till,b,1,21.9,16.2,20.5,72.5,59,0,59,1,0,0,,,,,,,
204,2021,July,16,7,Soy,No Till,b,2,21.3,15.7,20.5,77.3,63,3,60,0.95,0,0,,,,,,,
205,2021,July,16,7,Corn,Till,b,1,21.2,15.6,20.1,85.6,55,24,31,0.56,0,0,,,,,,,
206,2021,July,16,7,Corn,Till,b,2,20.7,15.4,20.4,83.2,62,5,57,0.92,0,0,,,,,,,
207,2021,July,16,7,Corn,No Till,b,1,20.3,14.9,20.2,81.9,71,63,8,0.11,1,1,1,,,,,,
208,2021,July,16,7,Corn,No Till,b,2,19.7,16.3,20.2,71.7,63,0,63,1,21,2,2,19,,,,,
209,2021,July,16,7,Soy,Till,c,1,19.6,19.5,19.7,78.4,79,61,18,0.23,0,0,,,,,,,
210,2021,July,16,7,Soy,Till,c,2,19.4,19,19.5,81.3,63,61,2,0.03,0,0,,,,,,,
211,2021,July,16,7,Soy,No Till,c,1,18.9,18.8,19.3,81.2,70,1,69,0.99,0,0,,,,,,,
212,2021,July,16,7,Soy,No Till,c,2,19.2,19.8,19.4,84.6,51,16,35,0.69,0,0,,,,,,,
213,2021,July,16,7,Corn,Till,c,1,20.3,18.8,19.4,84.6,72,19,53,0.74,0,0,,,,,,,
214,2021,July,16,7,Corn,Till,c,2,20,18.2,19,76.6,64,64,0,0,1,1,,,1,,,,
215,2021,July,16,7,Corn,No Till,c,1,20.3,18.8,19.4,83.2,81,29,52,0.64,0,0,,,,,,,
216,2021,July,16,7,Corn,No Till,c,2,19.8,19.1,19.5,83.9,77,28,49,0.64,5,1,5,,,,,,
217,2021,July,16,7,Soy,Till,d,1,20.5,19.8,20.1,79.5,68,68,0,0,0,0,,,,,,,
218,2021,July,16,7,Soy,Till,d,2,20.5,19.1,19.9,77.9,73,69,4,0.05,0,0,,,,,,,
219,2021,July,16,7,Soy,No Till,d,1,20,20.3,19.3,77.4,80,73,7,0.09,0,0,,,,,,,
220,2021,July,16,7,Soy,No Till,d,2,20.4,18.4,19.9,78.7,79,74,5,0.06,0,0,,,,,,,
221,2021,July,16,7,Corn,Till,d,1,21.5,18.7,20.1,85.3,61,56,5,0.08,0,0,,,,,,,
222,2021,July,16,7,Corn,Till,d,2,21.7,19.1,20.5,86,84,63,21,0.25,0,0,,,,,,,
223,2021,July,16,7,Corn,No Till,d,1,22,19,20.3,80.6,58,25,33,0.57,0,0,,,,,,,
224,2021,July,16,7,Corn,No Till,d,2,23,19.2,20.6,76.2,58,1,57,0.98,0,0,,,,,,,
225,2021,July,20,8,Soy,Till,a,1,23,21.3,23.6,72.5,66,60,6,0.09,0,0,,,,,,,
226,2021,July,20,8,Soy,Till,a,2,22.9,22.9,23.8,73.8,58,0,58,1,0,0,,,,,,,
227,2021,July,20,8,Soy,No Till,a,1,22.1,21.9,23.2,75.3,73,1,72,0.99,0,0,,,,,,,
228,2021,July,20,8,Soy,No Till,a,2,21.5,21.2,22.8,72.5,79,0,79,1,135,1,,135,,,,,
229,2021,July,20,8,Corn,Till,a,1,23,20.5,22.3,67,69,61,8,0.12,0,0,,,,,,,
230,2021,July,20,8,Corn,Till,a,2,22.9,20.8,22.8,67.6,55,46,9,0.16,0,0,,,,,,,
231,2021,July,20,8,Corn,No Till,a,1,22.8,21,22.8,72.1,64,28,36,0.56,0,0,,,,,,,
232,2021,July,20,8,Corn,No Till,a,2,22.4,19.6,22.7,71.3,73,12,61,0.84,14,1,,14,,,,,
